Ref,Val,Package,PosX,PosY,Rot,Side
"C5","10UF","C_0805_2012Metric",66.500000,33.838000,-90.000000,top
"C6","10UF","C_0805_2012Metric",61.420000,46.030000,-90.000000,top
"C7","10UF","C_0805_2012Metric",66.500000,46.030000,-90.000000,top
"C8","0.1UF","C_0603_1608Metric",71.570000,59.085000,90.000000,top
"C9","0.1UF","C_0603_1608Metric",73.690000,59.085000,90.000000,top
"C10","0.1UF","C_0603_1608Metric",75.990000,50.235000,90.000000,top
"C11","10UF","C_0805_2012Metric",66.540000,51.215000,-90.000000,top
"C12","0.1UF","C_0603_1608Metric",22.410000,60.105000,-90.000000,top
"C13","0.1UF","C_0603_1608Metric",57.140000,61.755000,90.000000,top
"C14","0.1UF","C_0603_1608Metric",57.140000,66.225000,90.000000,top
"C15","0.1UF","C_0603_1608Metric",92.910000,10.570000,90.000000,top
"C16","10UF","C_0805_2012Metric",25.930000,54.480000,-90.000000,top
"C18","0.1UF","C_0603_1608Metric",22.390000,54.390000,-90.000000,top
"C19","0.1UF","C_0603_1608Metric",76.290000,6.015000,90.000000,top
"C20","0.1UF","C_0603_1608Metric",75.860000,29.595000,-90.000000,top
"C21","0.1UF","C_0603_1608Metric",25.190000,45.265000,90.000000,top
"C22","0.1uF","C_0603_1608Metric",69.580000,34.125000,90.000000,top
"C23","0.1uF","C_0603_1608Metric",72.880000,38.305000,-90.000000,top
"C25","0.1UF","C_0603_1608Metric",33.480000,31.245000,90.000000,top
"C27","0.1UF","C_0603_1608Metric",9.510000,50.425000,-90.000000,top
"C28","0.1UF","C_0603_1608Metric",25.190000,48.715000,90.000000,top
"C29","0.1UF","C_0603_1608Metric",20.790000,51.465000,-90.000000,top
"C30","0.1UF","C_0603_1608Metric",31.030000,36.005000,-90.000000,top
"D1","XMIT","LED_D5.0mm",60.140000,9.415000,180.000000,top
"FL1","~","PluginFilter",84.720000,40.860000,90.000000,top
"J1","HX8357D SPI","PinHeader_1x20_P2.54mm_Vertical",95.710000,59.680000,0.000000,top
"J2","CONN SMA JACK STR 50OHM EDGE MNT","RF_SMA_BoardEdge_142-0701-801",85.508500,69.720000,0.000000,top
"J3","B5B-XH-A_LF__SN_","PinHeader_1x5_P2.5mm_Drill1.1mm",9.990000,65.490000,0.000000,top
"J4","Conn_01x06_Socket","1x06",32.990000,20.240000,-90.000000,top
"J5","HX8357D 8-BIT","PinHeader_1x20_P2.54mm_Vertical",4.270000,59.680000,0.000000,top
"Q1","2N7002DW","SOT-363",75.190000,35.020000,0.000000,top
"R1","2.0K","R_0603_1608Metric",69.070000,54.905000,-90.000000,top
"R2","2.0K","R_0603_1608Metric",61.350000,59.855000,90.000000,top
"R3","47K","R_0603_1608Metric",61.420000,51.489000,-90.000000,top
"R4","47K","R_0603_1608Metric",61.420000,40.567000,90.000000,top
"R5","2.2K","R_0603_1608Metric",61.420000,34.090000,90.000000,top
"R6","10k","R_0603_1608Metric",66.500000,40.495000,-90.000000,top
"R7","51 OHM","R_0603_1608Metric",74.510000,40.325000,-90.000000,top
"R8","2.0K","R_0603_1608Metric",33.000000,27.115000,90.000000,top
"R9","2.0K","R_0603_1608Metric",34.980000,27.135000,90.000000,top
"R11","510 Ohm","R_0603_1608Metric",57.590000,15.690000,-90.000000,top
"R12","510","R_0603_1608Metric",64.468000,22.279000,-90.000000,top
"R13","510","R_0603_1608Metric",68.100000,19.485000,90.000000,top
"T1","L_Ferrite_Coupled","L_Toroid_Vertical_BIFILAR",83.510000,5.040000,180.000000,top
"TN1","Teensy4.1","Teensy41",44.910000,36.820000,-90.000000,top
"TP1","PTH","1x01",13.980000,52.210000,0.000000,top
"TP2","PTH","1x01",31.490000,39.990000,0.000000,top
"TP3","PTH","1x01",31.490000,47.490000,0.000000,top
"TP4","PTH","1x01",69.080000,50.240000,0.000000,top
"TP5","PTH","1x01",63.940000,9.400000,0.000000,top
"TP6","PTH","1x01",67.620000,9.300000,0.000000,top
"U1","MCP3422A1T-E/SN","SOIC-8_3.9x4.9mm_P1.27mm",26.465000,64.505000,0.000000,top
"U2","Si4735-D60-GU","SSOP-24_3.9x8.7mm_P0.635mm",69.992500,64.760000,-90.000000,top
"U3","SN74ACT244DWR","DW20",22.803700,29.495000,0.000000,top
"U4","SI5351C-B-GM","QFN20_4X4_SKY",21.544828,47.157700,0.000000,top
"Y1","ASTX-H11-25.000MHZ-T","XTAL_ASTX-H11-25.000MHZ-T",10.640000,46.790000,90.000000,top
